APPLICATION_ID,PROJECT_TITLE,IC_NAME,FY,TOTAL_COST,domain,domain_label,topic,topic_label,subtopic,subtopic_label,umap_x,umap_y
8073624,The Role of Osteoactivin in Osteoblast Development and Function,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2011.0,131295.0,9,Cancer Biology & Oncology,53,Cancer Biology & Oncology > Orphan Drug,202,Genetics & Neuroscie > Cancer... > Genetics,-5.4677687,5.821208
10086424,The role of estrogen receptor in breast cancer outcomes and the effect of exposure history,NATIONAL CANCER INSTITUTE,2021.0,34013.0,2,Behavioral & Social Science,10,Behavioral & Social Science > Human Genome,38,Clinical Research &  > Clinica... > Clinical Research,-7.6603203,2.2607675
7949977,Secretion-associated dynamic of the plasma membrane,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2010.0,50474.0,4,Rare Diseases & Genomics,19,Rare Diseases & Genomics > Stem Cell Research,73,Genetics & Neuroscie > Genetic... > Genetics,-5.3605947,3.6526408
6732697,Local Regulation Of Calcium Release In Skeletal Muscle,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2004.0,129330.0,4,Rare Diseases & Genomics,21,Rare Diseases & Genomics > Networking and Information Techn...,82,Genetics & Neuroscie > Clinica... > Behavioral and Social Science,-11.420181,3.465676
10224409,Task A40: Human Hepatitis B virus (HBV) mouse models for testing HBV therapeutics,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2020.0,118225.0,1,Clinical Trials & Prevention,1,Clinical Trials & Prevention > Influenza,3,Clinical Research &  > Infecti... > Infectious Diseases,-10.26146,4.8345513
9717308,Translating Research Into Practice: A Regional Collaborative to Reduce Disparities in Breast Cancer Care,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,2019.0,1696377.0,2,Behavioral & Social Science,9,Behavioral & Social Science > Substance Abuse,34,Clinical Research &  > Clinica... > Clinical Research,-9.116066,0.77229947
9601638,Neurobehavioral Relations in Senescent Hippocampus,NATIONAL INSTITUTE ON AGING,2019.0,736431.0,5,Neuroscience & Behavior,25,Neuroscience & Behavior > Neurosciences**,96,Neurosciences & Beha > Neurosc... > Neurosciences,-6.4552407,1.9462688
8734193,"Program in Clinical Research, Clinical Support Services and Clinical Training",NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2013.0,5928382.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,11,Clinical Research &  > Clinica... > Clinical Research,-10.55126,4.399344
6768349,REGULATION OF CA SIGNALING DURING OOGENESIS,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2003.0,4260.0,7,Infectious Disease & Immunology,42,Infectious Disease & Immunology > Biodefense,165,Genetics & Biotechno > Genetic... > Genetics,-4.7954206,4.782141
6775101,Myosin Movement in Vitro - Molecular Characterization,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2004.0,576119.0,7,Infectious Disease & Immunology,39,Infectious Disease & Immunology > Dental/Oral and Craniofacial Dis...,151,Genetics & Biotechno > Genetic... > Genetics,-5.8373785,5.257053
9468449,Towards a blood-based diagnostic panel for confirmation of Parkinson's disease,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2018.0,156645.0,3,Genetics & Biotechnology,15,Genetics & Biotechnology > Human Genome,57,Genetics & Neuroscie > Genetic... > Genetics,-7.3659897,3.2102454
6360110,REAL TIME NONLINEAR RAMAN MICROSCOPE,NATIONAL CENTER FOR RESEARCH RESOURCES,2000.0,89079.0,10,Bioengineering & Technology,59,Bioengineering & Technology > Rehabilitation,223,Bioengineering & Bio > Bioengi... > Bioengineering,-8.206348,4.493754
6476806,GENOME FUNCTION IN MOUSE WITH COMBINATION MUTAGENESIS,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH &HUMAN DEVELOPMENT,2002.0,573335.0,7,Infectious Disease & Immunology,38,Infectious Disease & Immunology > Regenerative Medicine,149,Genetics & Biotechno > Genetic... > Genetics,-7.461935,3.4146152
8320238,Parameters that influence CD4+ T cell diabetogenic potential,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2012.0,371875.0,6,Molecular Biology & Genomics,33,Molecular Biology & Genomics > Genetics,129,Genetics & Neuroscie > Genetic... > Clinical Research,-5.061396,3.6429524
8721738,"Stimulatory and Suppressive NK Cell, DC, and MDSC Interactions in Human Cancer",NATIONAL CANCER INSTITUTE,2014.0,42057.0,9,Cancer Biology & Oncology,50,Cancer Biology & Oncology > Substance Abuse,190,Genetics & Neuroscie > Neurosc... > Neurosciences,-5.97278,6.448483
8499457,Institute of Translational Health Sciences,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,2013.0,2512119.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,9,Clinical Research &  > Clinica... > Clinical Research,-10.683864,3.5366147
6062467,MORPHOGENESIS AND CYTOKINESIS IN THE YEAST CELL CYCLE,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2000.0,370204.0,3,Genetics & Biotechnology,16,Genetics & Biotechnology > Biodefense,62,Genetics & Neuroscie > Genetic... > Genetics,-4.6601377,6.6362534
9750818,Neuropeptidergic Regulation of Zebrafish Sleep,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2019.0,359406.0,7,Infectious Disease & Immunology,39,Infectious Disease & Immunology > Dental/Oral and Craniofacial Dis...,154,Genetics & Biotechno > Genetic... > Genetics,-5.1437297,3.4469059
9676239,The role of the LZTR1 ubiquitin ligase in stem cells and cancer,NATIONAL CANCER INSTITUTE,2019.0,371586.0,7,Infectious Disease & Immunology,37,Infectious Disease & Immunology > Clinical Research,143,Genetics & Biotechno > Genetic... > Genetics,-6.187623,3.837648
9959042,"Preclinical Pulmonary Fibrosis, an opportune rare disease cohort","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2020.0,732489.0,2,Behavioral & Social Science,7,Behavioral & Social Science > Rare Diseases,27,Clinical Research &  > Clinica... > Clinical Research,-7.9227505,1.9063358
8734406,Mentoring Behavioral Scientists for Career Development in Pediatric T1D Research,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2014.0,334423.0,4,Rare Diseases & Genomics,21,Rare Diseases & Genomics > Networking and Information Techn...,82,Genetics & Neuroscie > Clinica... > Behavioral and Social Science,-11.540972,3.129997
9036345,Hospital Responses to Medicare Readmission Penalties,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2016.0,249999.0,2,Behavioral & Social Science,11,Behavioral & Social Science > Social Determinants of Health,41,Clinical Research &  > Behavio... > Clinical Research,-8.747552,1.7112379
6785821,Clinical Application of Image Guided Liver Surgery,NATIONAL CANCER INSTITUTE,2003.0,391104.0,10,Bioengineering & Technology,59,Bioengineering & Technology > Rehabilitation,225,Bioengineering & Bio > Bioengi... > Bioengineering,-8.165176,4.123936
10720503,"Understanding the role of bilevel positive airway pressure (BPAP) in pediatric acute asthma exacerbations: A prospective, randomized, double blind, controlled trial.","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2023.0,586651.0,2,Behavioral & Social Science,12,Behavioral & Social Science > Patient Safety,46,Clinical Research &  > Clinica... > Clinical Research,-8.352441,1.9403838
7088732,The design principles underlying cell polarity in yeast,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2006.0,208937.0,9,Cancer Biology & Oncology,52,Cancer Biology & Oncology > Emerging Infectious Diseases,197,Genetics & Neuroscie > Genetic... > Genetics,-5.418158,5.7506614
10002601,Novel Gene-Environment Regulatory Circuit in Chamber Specific Growth of Perinatal Heart,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2019.0,390000.0,3,Genetics & Biotechnology,15,Genetics & Biotechnology > Human Genome,57,Genetics & Neuroscie > Genetic... > Genetics,-4.810986,6.385934
7867312,Post-Doctoral Training in Intellectual and Developmental Disabilities Research,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2010.0,193639.0,1,Clinical Trials & Prevention,6,Clinical Trials & Prevention > Clinical Trials and Supportive A...,21,Clinical Research &  > Clinica... > Mental Health,-11.511591,3.858685
10454302,Stress Hormone Signal Transduction in Arabidopsis,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2022.0,355500.0,7,Infectious Disease & Immunology,42,Infectious Disease & Immunology > Biodefense,163,Genetics & Biotechno > Genetic... > Genetics,-5.237542,4.500005
6171110,HIV 1 CORECEPTORS IN TRANSMISSION AND PATHOGENESIS,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2000.0,394974.0,6,Molecular Biology & Genomics,31,Molecular Biology & Genomics > Substance Abuse,119,Genetics & Neuroscie > Neurosc... > Neurosciences,-4.4187927,4.3363886
9841947,Sulfide Oxidation and Signaling,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2020.0,390000.0,3,Genetics & Biotechnology,17,Genetics & Biotechnology > Digestive Diseases,66,Genetics & Neuroscie > Genetic... > Genetics,-4.5690136,6.929249
10795051,NorthStar Node of the Clinical Trials Network,NATIONAL INSTITUTE ON DRUG ABUSE,2024.0,1.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,10,Clinical Research &  > Clinica... > Clinical Research,-10.156985,3.7292454
7531216,Glycobiological Analysis of Plasmodium-Vector Host Interactions,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2009.0,162000.0,7,Infectious Disease & Immunology,42,Infectious Disease & Immunology > Biodefense,163,Genetics & Biotechno > Genetic... > Genetics,-6.280466,7.105872
8903350,Morehouse Sch of Medicine/Tuskegee Univ/University of Alabama Ca Ctr Partnership,NATIONAL CANCER INSTITUTE,2014.0,155159.0,1,Clinical Trials & Prevention,6,Clinical Trials & Prevention > Clinical Trials and Supportive A...,24,Clinical Research &  > Clinica... > Clinical Research,-10.931864,3.9750016
7321264,Improving SENSE MRI for Spiral and Echo-planar Imaging in Stroke,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,2007.0,459619.0,10,Bioengineering & Technology,59,Bioengineering & Technology > Rehabilitation,224,Bioengineering & Bio > Bioengi... > Bioengineering,-7.616593,3.772457
6556161,Mechanism of Base-Flipping by DNA Modifying Enzymes,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2003.0,137971.0,7,Infectious Disease & Immunology,40,Infectious Disease & Immunology > Bioengineering,155,Genetics & Biotechno > Bioengi... > Aging,-6.457301,5.268795
8352205,Task A30:Mouse Models for Orthopoxviruses,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2011.0,256000.0,1,Clinical Trials & Prevention,1,Clinical Trials & Prevention > Influenza,3,Clinical Research &  > Infecti... > Infectious Diseases,-10.224343,4.864248
10159238,The basis for and function of enteroendocrine lineage plasticity in the intestinal DNA damage response,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2021.0,440575.0,3,Genetics & Biotechnology,15,Genetics & Biotechnology > Human Genome,57,Genetics & Neuroscie > Genetic... > Genetics,-4.3325024,6.693066
8527658,Optimizing Protein Intake in Older Americans with Mobility Limitations,NATIONAL INSTITUTE ON AGING,2013.0,811351.0,2,Behavioral & Social Science,8,Behavioral & Social Science > Comparative Effectiveness Research,30,Clinical Research &  > Clinica... > Clinical Research,-8.038844,0.7467027
9385440,Evaluating Longitudinal Changes in the Human Structural Connectome in Relation to Cognitive Aging,NATIONAL INSTITUTE ON AGING,2017.0,502543.0,2,Behavioral & Social Science,10,Behavioral & Social Science > Human Genome,38,Clinical Research &  > Clinica... > Clinical Research,-6.9365125,1.9805946
8089431,Mechanisms of Immune Modulation and Periodontal Disease,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2011.0,337666.0,6,Molecular Biology & Genomics,33,Molecular Biology & Genomics > Genetics,127,Genetics & Neuroscie > Genetic... > Genetics,-5.271031,4.2365026
8938038,Investigating the role of DNA breaks in mammalian aging,NATIONAL CANCER INSTITUTE,2014.0,391061.0,3,Genetics & Biotechnology,15,Genetics & Biotechnology > Human Genome,57,Genetics & Neuroscie > Genetic... > Genetics,-4.3833756,6.7954073
6509410,GENOTYPE:PHENOTYPE ASSOCIATIONS IN ALCOHOLISM,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,2002.0,72500.0,10,Bioengineering & Technology,56,Bioengineering & Technology > Mental Health,211,Bioengineering & Bio > Clinica... > Clinical Research,-6.7419114,5.7686853
7735286,Clinical Investigations On The Etiology And Therapy Of Neurogenetic Disorders,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2008.0,706694.0,3,Genetics & Biotechnology,18,Genetics & Biotechnology > Basic Behavioral and Social Science,71,Genetics & Neuroscie > Neurosc... > Clinical Research,-4.1513867,7.08916
8413715,High Throughput Screen Development for Modulators of PAS/Coactivator Interactions,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2012.0,39625.0,9,Cancer Biology & Oncology,49,Cancer Biology & Oncology > Mental Health,184,Genetics & Neuroscie > Genetic... > Genetics,-6.462071,7.3921485
8371509,Role of AIPL1 in Inherited Retinal Degenerative Disease,NATIONAL EYE INSTITUTE,2012.0,370000.0,9,Cancer Biology & Oncology,51,Cancer Biology & Oncology > Cardiovascular,193,Genetics & Neuroscie > Genetic... > Genetics,-6.6551623,6.4397116
9207161,Crosstalk between mitochondrial permeability transition and ETC supercomplexes in myocardial infarction,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2017.0,362750.0,3,Genetics & Biotechnology,18,Genetics & Biotechnology > Basic Behavioral and Social Science,69,Genetics & Neuroscie > Neurosc... > Genetics,-4.3357873,6.3158426
10083191,The Role of FOXCI in Basal-like Breast Cancer,NATIONAL CANCER INSTITUTE,2021.0,415625.0,4,Rare Diseases & Genomics,19,Rare Diseases & Genomics > Stem Cell Research,76,Genetics & Neuroscie > Genetic... > Genetics,-5.1503997,3.5865996
10087799,Prefrontal CRF and the Regulation of Goal Directed Behavior,NATIONAL INSTITUTE OF MENTAL HEALTH,2021.0,470549.0,6,Molecular Biology & Genomics,31,Molecular Biology & Genomics > Substance Abuse,122,Genetics & Neuroscie > Neurosc... > Neurosciences,-5.1671534,2.528359
7679318,HIF-1-Regulated Endothelial Progenitor Cell Recruitment in Burn Wound Healing,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2008.0,81862.0,7,Infectious Disease & Immunology,37,Infectious Disease & Immunology > Clinical Research,143,Genetics & Biotechno > Genetic... > Genetics,-8.632273,5.453452
6179032,GENETICS STUDIES OF MYOPIA,NATIONAL EYE INSTITUTE,2000.0,1248222.0,9,Cancer Biology & Oncology,54,Cancer Biology & Oncology > Human Genome,204,Genetics & Neuroscie > Genetic... > Genetics,-6.681002,5.699951
10620221,Effect of Alkali Therapy on Vascular and Graft Function in Kidney Transplant Recipients,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2023.0,532971.0,3,Genetics & Biotechnology,18,Genetics & Biotechnology > Basic Behavioral and Social Science,71,Genetics & Neuroscie > Neurosc... > Clinical Research,-7.531691,3.4985478
8038799,Mechanisms of Mycoplasmal Disease Pathogenesis,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2011.0,367927.0,7,Infectious Disease & Immunology,42,Infectious Disease & Immunology > Biodefense,166,Genetics & Biotechno > Genetic... > Genetics,-4.959861,4.7678785
8609241,KARABELO Clinical Trials Unit for NIAID Networks,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2014.0,2693563.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,10,Clinical Research &  > Clinica... > Clinical Research,-10.648461,3.9475598
9026217,Recombination/repair complex in human cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2015.0,116000.0,9,Cancer Biology & Oncology,54,Cancer Biology & Oncology > Human Genome,203,Genetics & Neuroscie > Genetic... > Genetics,-6.5384955,5.115837
8705978,BIOCHEMISTRY OF VIRAL REPLICATION,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2014.0,33939.0,3,Genetics & Biotechnology,16,Genetics & Biotechnology > Biodefense,61,Genetics & Neuroscie > Genetic... > Genetics,-4.798649,7.162402
7660248,A Family Intervention for Pediatric Asthma Self-Management in Puerto Ricans,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2009.0,225000.0,2,Behavioral & Social Science,8,Behavioral & Social Science > Comparative Effectiveness Research,29,Clinical Research &  > Clinica... > Clinical Research,-8.566205,0.72228336
8503542,Non-Human Primate Models to Evaluate Therapeutic Strats and Topical Microbicides,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2012.0,1172706.0,8,Clinical & Translational Research,48,Clinical & Translational Research > Clinical Trials and Supportive A...,182,Clinical Research &  > Clinica... > Prevention,-9.411418,4.84668
6926969,Environmental factors and inflammatory bowel disease,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2005.0,126900.0,2,Behavioral & Social Science,7,Behavioral & Social Science > Rare Diseases,27,Clinical Research &  > Clinica... > Clinical Research,-8.389637,1.1751817
8506862,An Animal Model for Human Heart-Hand Syndromes,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2013.0,318607.0,7,Infectious Disease & Immunology,38,Infectious Disease & Immunology > Regenerative Medicine,148,Genetics & Biotechno > Genetic... > Genetics,-6.1113544,4.651505
6771822,Dysregulation of STAT3 in ALK-induced oncogenesis,NATIONAL CANCER INSTITUTE,2004.0,301150.0,9,Cancer Biology & Oncology,54,Cancer Biology & Oncology > Human Genome,205,Genetics & Neuroscie > Genetic... > Genetics,-5.7560153,6.8556933
10405573,PET nanoreporter image-guided breast cancer therapy,NATIONAL CANCER INSTITUTE,2022.0,709571.0,10,Bioengineering & Technology,58,Bioengineering & Technology > Vaccine Related,221,Bioengineering & Bio > Biotech... > Biotechnology,-7.6419683,5.0713677
8126204,Mentoring and Research in Cancer Palliative Care,NATIONAL CANCER INSTITUTE,2011.0,194903.0,1,Clinical Trials & Prevention,4,Clinical Trials & Prevention > Brain Disorders,13,Clinical Research &  > Clinica... > Clinical Research,-12.184338,4.4025617
7001200,Genetics of Adiposity and Glucose Homeostasis,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2006.0,365428.0,10,Bioengineering & Technology,56,Bioengineering & Technology > Mental Health,214,Bioengineering & Bio > Clinica... > Clinical Research,-7.8064,2.3854716
7869533,Biochemical analyses of muscleblind complexes in myotonic dystrophy,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2009.0,176222.0,6,Molecular Biology & Genomics,33,Molecular Biology & Genomics > Genetics,130,Genetics & Neuroscie > Genetic... > Genetics,-4.0623946,3.7660043
10709899,Investigating the Multi-factorial Etiology of Rotator Cuff Pathology in Human Subjects,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2023.0,242696.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,12,Clinical Research &  > Clinica... > Clinical Research,-9.97877,2.9631875
9666275,Myofilament proteins in cardiomyopathy and arrhythmias,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2019.0,97783.0,3,Genetics & Biotechnology,18,Genetics & Biotechnology > Basic Behavioral and Social Science,70,Genetics & Neuroscie > Neurosc... > Neurosciences,-4.6734624,6.0317817
8731004,University of Maryland Center of Excellence in Regulatory Science and Innovation,FOOD AND DRUG ADMINISTRATION,2013.0,66363.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,9,Clinical Research &  > Clinica... > Clinical Research,-10.604797,3.467388
7244268,Urease Activity and Dental Caries in Children,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2007.0,107608.0,1,Clinical Trials & Prevention,4,Clinical Trials & Prevention > Brain Disorders,16,Clinical Research &  > Clinica... > Clinical Research,-12.18368,4.4010696
10112290,Abnormal Mitochondrial Bioenergetic and Motility Signatures in Human Blood Cells as Indices of Acute Poisoning in Patients,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2021.0,168696.0,3,Genetics & Biotechnology,13,Genetics & Biotechnology > Health Services,50,Genetics & Neuroscie > Clinica... > Clinical Research,-7.793529,4.061213
6683216,TGF-BETA FAMILY REGULATION OF EPITHELIAL MORPHOGENESIS,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2004.0,334928.0,7,Infectious Disease & Immunology,39,Infectious Disease & Immunology > Dental/Oral and Craniofacial Dis...,151,Genetics & Biotechno > Genetic... > Genetics,-4.817512,4.6677437
9176487,Control of bacterial zonal growth and differentiation,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2016.0,416681.0,6,Molecular Biology & Genomics,31,Molecular Biology & Genomics > Substance Abuse,121,Genetics & Neuroscie > Neurosc... > Genetics,-5.6347423,4.9353223
10254192,Role of Tgf-beta-signaling in corneal development and diseases,NATIONAL EYE INSTITUTE,2021.0,90063.0,9,Cancer Biology & Oncology,51,Cancer Biology & Oncology > Cardiovascular,193,Genetics & Neuroscie > Genetic... > Genetics,-6.5408115,7.117446
7319732,E. faecalis Pathogenicity Island,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2007.0,437250.0,8,Clinical & Translational Research,45,Clinical & Translational Research > Genetics,171,Clinical Research &  > Genetic... > Genetics,-12.18633,7.4155517
10437022,Expanding the set of genetically encoded tools for compartment-specific manipulation of redox metabolism in living cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2022.0,480000.0,10,Bioengineering & Technology,60,Bioengineering & Technology > Nanotechnology,227,Bioengineering & Bio > Bioengi... > Bioengineering,-6.894806,5.348802
10158511,Neural mechanisms of reactive aggression in adolescence: Altered reactivity during threat and reinforcement conditioning,NATIONAL INSTITUTE OF MENTAL HEALTH,2021.0,169065.0,5,Neuroscience & Behavior,29,Neuroscience & Behavior > Mind and Body,111,Neurosciences & Beha > Clinica... > Neurosciences,-6.828478,1.5570841
8549948,Analysis of Novel Acinetobacter baumannii Adhesins,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2013.0,186238.0,4,Rare Diseases & Genomics,19,Rare Diseases & Genomics > Stem Cell Research,73,Genetics & Neuroscie > Genetic... > Genetics,-5.6831574,3.2912135
7465434,Cytoskeleton polymerization dynamics in the cell cycle,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2008.0,380485.0,3,Genetics & Biotechnology,16,Genetics & Biotechnology > Biodefense,63,Genetics & Neuroscie > Genetic... > Genetics,-5.1433883,5.5798035
8306619,The Role of Novel Bacteria in Male Urethritis,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2012.0,211850.0,6,Molecular Biology & Genomics,34,Molecular Biology & Genomics > Immunization,134,Genetics & Neuroscie > Clinica... > Infectious Diseases,-7.0006166,3.0636804
9859291,The role of personality in cognitive aging and dementia,NATIONAL INSTITUTE ON AGING,2020.0,431694.0,5,Neuroscience & Behavior,30,Neuroscience & Behavior > Serious Mental Illness,117,Neurosciences & Beha > Clinica... > Clinical Research,-7.181192,1.196446
7277670,Aging and Sympathetic Vasoconstriction: Rest vs Exercise,NATIONAL INSTITUTE ON AGING,2007.0,119043.0,2,Behavioral & Social Science,10,Behavioral & Social Science > Human Genome,40,Clinical Research &  > Clinica... > Clinical Research,-6.0369344,2.4353693
6382680,Defensins and Corneal Wound Healing,NATIONAL EYE INSTITUTE,2001.0,290250.0,4,Rare Diseases & Genomics,24,Rare Diseases & Genomics > Hematology,91,Genetics & Neuroscie > Clinica... > Neurosciences,-5.8965983,4.076023
9224112,Using Large Observational Datasets to Improve Antibiotic Prescribing for Community-Acquired Pneumonia,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2016.0,137403.0,1,Clinical Trials & Prevention,3,Clinical Trials & Prevention > Social Determinants of Health,12,Clinical Research &  > Clinica... > Clinical Research,-11.653935,4.284044
8011945,Does alternative splicing regulate G protein inhibition of calcium channels?,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2011.0,28917.0,7,Infectious Disease & Immunology,41,Infectious Disease & Immunology > Cancer,162,Genetics & Biotechno > Genetic... > Genetics,-5.740207,4.610108
