APPLICATION_ID,CORE_PROJECT_NUM,topic,topic_label,IC_NAME,FISCAL_YEAR
2745555,R01HD026339,26,Genetics | Biotechnology | Neurosciences,HD,2000
6080631,R01CA085178,28,Clinical Research | Prevention | Genetics,CA,2000
6081898,P30MH039246,63,Clinical Research | Behavioral and Social Science | Prevention,MH,2000
6083576,R15GM060927,89,Genetics | Infectious Diseases | Biotechnology,GM,2000
6084099,R01DC004395,4,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,DC,2000
6084982,R01DK057552,99,Genetics | Neurosciences | Cancer,DK,2000
6085894,K23AR002160,39,Clinical Research | Neurosciences | Prevention,AR,2000
6086003,R01GM060994,20,Genetics | Biotechnology | Neurosciences,GM,2000
6086099,K24NS002155,45,Genetics | Clinical Research | Human Genome,NS,2000
6087471,R21AI047216,29,Genetics | Infectious Diseases | Bioengineering,AI,2000
6087714,K26RR000173,9,Genetics | Biotechnology | Cancer,RR,2000
6087980,K08ES000356,34,Clinical Research | Behavioral and Social Science | Neurosciences,ES,2000
6088177,R01ES010504,95,Clinical Research | Behavioral and Social Science | Prevention,ES,2000
6088515,R01DE013683,54,Genetics | Biotechnology | Infectious Diseases,DE,2000
6088982,U01HL054471,28,Clinical Research | Prevention | Genetics,HL,2000
6089107,R01NS039994,58,Genetics | Neurosciences | Biotechnology,NS,2000
6089813,K23AA000314,23,Behavioral and Social Science | Neurosciences | Clinical Research,AA,2000
6089975,R03MH061615,25,Clinical Research | Behavioral and Social Science | Neurosciences,MH,2000
6090342,P01ES004068,47,Clinical Research | Genetics | Biotechnology,ES,2000
6090796,R01AR046831,35,Genetics | Neurosciences | Cardiovascular,AR,2000
6091297,R01CA085913,67,Clinical Research | Prevention | Neurosciences,CA,2000
6091744,R01HL016496,40,Genetics | Biotechnology | Clinical Research,HL,2000
6091820,R15GM055885,64,Genetics | Infectious Diseases | Biotechnology,GM,2000
6091903,R21NS040086,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,NS,2000
6092807,R03AR046858,66,Clinical Research | Behavioral and Social Science | Health Services,AR,2000
6092873,R13HL064900,55,Cancer | Neurosciences | Genetics,HL,2000
6093053,R01HL020558,11,Neurosciences | Genetics | Brain Disorders,HL,2000
6093665,P30AI027742,31,Clinical Research | Prevention | Clinical Trials and Supportive Activities,AI,2000
6094107,U10CA042326,40,Genetics | Biotechnology | Clinical Research,CA,2000
6094647,R01GM061340,97,Bioengineering | Biotechnology | Cancer,GM,2000
6095311,R01GM021967,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6095313,R01GM025062,54,Genetics | Biotechnology | Infectious Diseases,GM,2000
6095954,R01AG018026,11,Neurosciences | Genetics | Brain Disorders,AG,2000
6096776,R01AG017155,45,Genetics | Clinical Research | Human Genome,AG,2000
6096778,R01CA080219,84,Genetics | Infectious Diseases | Cancer,CA,2000
6096905,R01GM051189,84,Genetics | Infectious Diseases | Cancer,GM,2000
6096940,R01HD032979,35,Genetics | Neurosciences | Cardiovascular,HD,2000
6097377,R01GM032833,54,Genetics | Biotechnology | Infectious Diseases,GM,2000
6124039,R01AA008154,17,Neurosciences | Genetics | Brain Disorders,AA,2000
6124053,R01AA011290,35,Genetics | Neurosciences | Cardiovascular,AA,2000
6124083,R01AG010315,42,Clinical Research | Behavioral and Social Science | Prevention,AG,2000
6124116,R01AI044005,17,Neurosciences | Genetics | Brain Disorders,AI,2000
6124182,R01AI021501,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6124184,R01AI021758,84,Genetics | Infectious Diseases | Cancer,AI,2000
6124192,R37AI023990,26,Genetics | Biotechnology | Neurosciences,AI,2000
6124193,R01AI024157,11,Neurosciences | Genetics | Brain Disorders,AI,2000
6124196,R37AI024780,40,Genetics | Biotechnology | Clinical Research,AI,2000
6124221,R01AG014637,35,Genetics | Neurosciences | Cardiovascular,AG,2000
6124262,R01AI032615,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6124285,R01AI044609,62,Infectious Diseases | Biotechnology | Prevention,AI,2000
6124338,R01AI041369,62,Infectious Diseases | Biotechnology | Prevention,AI,2000
6124343,R29AI042092,54,Genetics | Biotechnology | Infectious Diseases,AI,2000
6124349,R01AI042156,57,Genetics | Biotechnology | Neurosciences,AI,2000
6124353,R01AI042327,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6124400,U10CA002649,47,Clinical Research | Genetics | Biotechnology,CA,2000
6124469,R01CA077204,16,Genetics | Neurosciences | Cancer,CA,2000
6124500,R01CA061286,84,Genetics | Infectious Diseases | Cancer,CA,2000
6124565,R01CA039224,18,Bioengineering | Clinical Research | Neurosciences,CA,2000
6124579,R37CA043460,80,Genetics | Neurosciences | Clinical Research,CA,2000
6124590,R01CA040644,36,Bioengineering | Genetics | Human Genome,CA,2000
6124604,R01CA052310,64,Genetics | Infectious Diseases | Biotechnology,CA,2000
6124607,R01CA052799,54,Genetics | Biotechnology | Infectious Diseases,CA,2000
6124615,U10CA055362,24,Clinical Research | Cancer | Neurosciences,CA,2000
6124626,R37CA058316,41,Genetics | Biotechnology | Infectious Diseases,CA,2000
6124636,R29CA077863,35,Genetics | Neurosciences | Cardiovascular,CA,2000
6124645,R01CA079491,84,Genetics | Infectious Diseases | Cancer,CA,2000
6124693,R01CA081358,20,Genetics | Biotechnology | Neurosciences,CA,2000
6124708,R29CA076176,11,Neurosciences | Genetics | Brain Disorders,CA,2000
6124738,R01DK002700,11,Neurosciences | Genetics | Brain Disorders,DK,2000
6124747,P01DK013083,47,Clinical Research | Genetics | Biotechnology,DK,2000
6124751,P30DK017047,8,Biotechnology | Cancer | Bioengineering,DK,2000
6124825,P01DK053006,47,Clinical Research | Genetics | Biotechnology,DK,2000
6124854,R01DK041415,54,Genetics | Biotechnology | Infectious Diseases,DK,2000
6124862,R01DK040936,11,Neurosciences | Genetics | Brain Disorders,DK,2000
6124883,P01DK044840,40,Genetics | Biotechnology | Clinical Research,DK,2000
6124903,R37DK032658,54,Genetics | Biotechnology | Infectious Diseases,DK,2000
6124908,R01DK033941,64,Genetics | Infectious Diseases | Biotechnology,DK,2000
6124920,R01DA004745,27,Neurosciences | Genetics | Clinical Research,DA,2000
6124929,P50DA006634,8,Biotechnology | Cancer | Bioengineering,DA,2000
6125083,U10EY009307,94,Clinical Research | Prevention | Clinical Trials and Supportive Activities,EY,2000
6125117,R01EY010332,54,Genetics | Biotechnology | Infectious Diseases,EY,2000
6125130,R29EY011490,99,Genetics | Neurosciences | Cancer,EY,2000
6125177,R01EY005612,35,Genetics | Neurosciences | Cardiovascular,EY,2000
6125198,R01ES009102,87,Genetics | Neurosciences | Biotechnology,ES,2000
6125268,R37GM031354,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6125286,R01GM034917,60,Cancer | Infectious Diseases | Biotechnology,GM,2000
6125364,R01GM040924,54,Genetics | Biotechnology | Infectious Diseases,GM,2000
6125425,R01GM043129,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6125438,K08HD001169,90,Clinical Research | Behavioral and Social Science | Prevention,HD,2000
6125443,P01HD005515,47,Clinical Research | Genetics | Biotechnology,HD,2000
6125607,P30HD027823,33,Clinical Research | Neurosciences | Cancer,HD,2000
6125608,R01HD012137,35,Genetics | Neurosciences | Cardiovascular,HD,2000
6125613,R37HD014427,40,Genetics | Biotechnology | Clinical Research,HD,2000
6125630,R01HD020337,40,Genetics | Biotechnology | Clinical Research,HD,2000
6125643,R01HD027063,36,Bioengineering | Genetics | Human Genome,HD,2000
6125658,P30HD033692,77,Clinical Research | Behavioral and Social Science | Prevention,HD,2000
6125663,U01HD032632,59,Clinical Research | Behavioral and Social Science | Prevention,HD,2000
6125669,K08HL003960,79,Genetics | Biotechnology | Neurosciences,HL,2000
6125729,P01HL027430,47,Clinical Research | Genetics | Biotechnology,HL,2000
6125733,R01HL029409,89,Genetics | Infectious Diseases | Biotechnology,HL,2000
6125766,R01HL041372,99,Genetics | Neurosciences | Cancer,HL,2000
6125778,R01HL054683,40,Genetics | Biotechnology | Clinical Research,HL,2000
6125782,R01HL055409,53,Bioengineering | Clinical Research | Neurosciences,HL,2000
6125824,R01HL057446,40,Genetics | Biotechnology | Clinical Research,HL,2000
6125834,R01HL057937,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6125855,R01HL059428,7,Genetics | Cancer | Infectious Diseases,HL,2000
6125881,R01HL049973,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6125891,R01HL051290,40,Genetics | Biotechnology | Clinical Research,HL,2000
6125920,R37HL049434,35,Genetics | Neurosciences | Cardiovascular,HL,2000
6125926,R01HL053546,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6125928,R01HL049441,16,Genetics | Neurosciences | Cancer,HL,2000
6125974,R01HL061419,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6126131,R01MH059199,84,Genetics | Infectious Diseases | Cancer,MH,2000
6126141,R01MH059339,11,Neurosciences | Genetics | Brain Disorders,MH,2000
6126144,R01MH059520,36,Bioengineering | Genetics | Human Genome,MH,2000
6126177,R01MH057736,66,Clinical Research | Behavioral and Social Science | Health Services,MH,2000
6126231,R01NS029403,54,Genetics | Biotechnology | Infectious Diseases,NS,2000
6126315,R01NS037171,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,NS,2000
6126323,P01NS037444,54,Genetics | Biotechnology | Infectious Diseases,NS,2000
6126352,R01NS036999,92,Neurosciences | Behavioral and Social Science | Brain Disorders,NS,2000
6126366,R01NS037112,54,Genetics | Biotechnology | Infectious Diseases,NS,2000
6126369,R01NS037125,58,Genetics | Neurosciences | Biotechnology,NS,2000
6126375,R01NS036916,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,NS,2000
6126382,R01NS038065,54,Genetics | Biotechnology | Infectious Diseases,NS,2000
6126671,R01GM036526,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6127055,R21HG002024,53,Bioengineering | Clinical Research | Neurosciences,HG,2000
6127414,R01GM059675,60,Cancer | Infectious Diseases | Biotechnology,GM,2000
6127562,R01NS004270,58,Genetics | Neurosciences | Biotechnology,NS,2000
6127930,R01CA051105,64,Genetics | Infectious Diseases | Biotechnology,CA,2000
6127972,R25MH060250,77,Clinical Research | Behavioral and Social Science | Prevention,MH,2000
6128196,R37AI023764,49,Genetics | Neurosciences | Cancer,AI,2000
6128212,R01AI046031,54,Genetics | Biotechnology | Infectious Diseases,AI,2000
6128347,R01GM044557,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6128781,R01EY012701,40,Genetics | Biotechnology | Clinical Research,EY,2000
6128889,R01GM054068,41,Genetics | Biotechnology | Infectious Diseases,GM,2000
6129272,R03AG018045,54,Genetics | Biotechnology | Infectious Diseases,AG,2000
6129992,R01DK048307,80,Genetics | Neurosciences | Clinical Research,DK,2000
6130033,R01GM024751,20,Genetics | Biotechnology | Neurosciences,GM,2000
6130034,R01GM025154,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6130074,R01HD038060,16,Genetics | Neurosciences | Cancer,HD,2000
6130126,R37MH052804,54,Genetics | Biotechnology | Infectious Diseases,MH,2000
6130433,R01CA083127,87,Genetics | Neurosciences | Biotechnology,CA,2000
6130556,R01HL055362,64,Genetics | Infectious Diseases | Biotechnology,HL,2000
6130857,R01DK056355,54,Genetics | Biotechnology | Infectious Diseases,DK,2000
6130954,R01CA042278,17,Neurosciences | Genetics | Brain Disorders,CA,2000
6131696,R01DK042284,17,Neurosciences | Genetics | Brain Disorders,DK,2000
6131751,R01EY005972,4,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,EY,2000
6131794,R01DC000205,4,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,DC,2000
6131829,R01AG017165,16,Genetics | Neurosciences | Cancer,AG,2000
6131865,R01HD038117,40,Genetics | Biotechnology | Clinical Research,HD,2000
6132495,R01AR044253,54,Genetics | Biotechnology | Infectious Diseases,AR,2000
6132551,R21CA086288,35,Genetics | Neurosciences | Cardiovascular,CA,2000
6132641,U10HD038992,22,Clinical Research | Genetics | Prevention,HD,2000
6133002,R01DA004075,35,Genetics | Neurosciences | Cardiovascular,DA,2000
6133039,U01ES010867,44,Genetics | Bioengineering | Human Genome,ES,2000
6133290,R01CA082344,80,Genetics | Neurosciences | Clinical Research,CA,2000
6133304,R21CA086370,29,Genetics | Infectious Diseases | Bioengineering,CA,2000
6133526,R03DE013446,64,Genetics | Infectious Diseases | Biotechnology,DE,2000
6134190,R41HL064984,53,Bioengineering | Clinical Research | Neurosciences,HL,2000
6135020,F32AI010500,20,Genetics | Biotechnology | Neurosciences,AI,2000
6135067,F32NS011015,40,Genetics | Biotechnology | Clinical Research,NS,2000
6135386,F32HL010344,11,Neurosciences | Genetics | Brain Disorders,HL,2000
6135864,R03MH061031,38,Clinical Research | Behavioral and Social Science | Pediatric,MH,2000
6135884,F32GM020485,64,Genetics | Infectious Diseases | Biotechnology,GM,2000
6135894,F32HD008645,6,Genetics | Cancer | Neurosciences,HD,2000
6136270,F06TW002368,40,Genetics | Biotechnology | Clinical Research,TW,2000
6136278,F32ES005911,54,Genetics | Biotechnology | Infectious Diseases,ES,2000
6136385,F32AI010505,11,Neurosciences | Genetics | Brain Disorders,AI,2000
6136418,F32NS011033,35,Genetics | Neurosciences | Cardiovascular,NS,2000
6136984,T32AA007473,3,Clinical Research | Neurosciences | Behavioral and Social Science,AA,2000
6136991,R37AA007818,99,Genetics | Neurosciences | Cancer,AA,2000
6137025,R37AG005604,54,Genetics | Biotechnology | Infectious Diseases,AG,2000
6137044,R01AG012288,57,Genetics | Biotechnology | Neurosciences,AG,2000
6137046,U01AG013255,42,Clinical Research | Behavioral and Social Science | Prevention,AG,2000
6137115,R01AI016611,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6137123,R01AI020264,29,Genetics | Infectious Diseases | Bioengineering,AI,2000
6137132,R01AI024509,17,Neurosciences | Genetics | Brain Disorders,AI,2000
6137146,R01AI026887,70,Genetics | Cancer | Biotechnology,AI,2000
6137147,R01AI027028,51,Genetics | Biotechnology | Human Genome,AI,2000
6137168,R01AI032121,58,Genetics | Neurosciences | Biotechnology,AI,2000
6137180,R01AI034522,54,Genetics | Biotechnology | Infectious Diseases,AI,2000
6137245,R01AI042394,99,Genetics | Neurosciences | Cancer,AI,2000
6137276,R01AI044079,89,Genetics | Infectious Diseases | Biotechnology,AI,2000
6137286,R01AI044667,64,Genetics | Infectious Diseases | Biotechnology,AI,2000
6137347,P30CA008748,8,Biotechnology | Cancer | Bioengineering,CA,2000
6137407,U10CA032102,15,Clinical Research | Clinical Trials | Prevention,CA,2000
6137515,U10CA058882,31,Clinical Research | Prevention | Clinical Trials and Supportive Activities,CA,2000
6137530,U01CA062407,83,Bioengineering | Biotechnology | Cancer,CA,2000
6137595,R01CA073556,40,Genetics | Biotechnology | Clinical Research,CA,2000
6137637,R01CA076290,20,Genetics | Biotechnology | Neurosciences,CA,2000
6137670,R01CA077735,11,Neurosciences | Genetics | Brain Disorders,CA,2000
6137676,R01CA078848,48,Bioengineering | Biotechnology | Neurosciences,CA,2000
6137681,T32CA079447,82,Clinical Research | Neurosciences | Cancer,CA,2000
6137706,R01CA079940,67,Clinical Research | Prevention | Neurosciences,CA,2000
6137727,R01CA080320,20,Genetics | Biotechnology | Neurosciences,CA,2000
6137772,K08DA000406,39,Clinical Research | Neurosciences | Prevention,DA,2000
6137841,K02DC000136,92,Neurosciences | Behavioral and Social Science | Brain Disorders,DC,2000
6137937,K08DK002622,40,Genetics | Biotechnology | Clinical Research,DK,2000
6137965,R01DK018865,29,Genetics | Infectious Diseases | Bioengineering,DK,2000
6137970,R01DK029867,54,Genetics | Biotechnology | Infectious Diseases,DK,2000
6138092,R01DK054932,97,Bioengineering | Biotechnology | Cancer,DK,2000
6138109,R01ES006230,54,Genetics | Biotechnology | Infectious Diseases,ES,2000
6138125,K08EY000377,90,Clinical Research | Behavioral and Social Science | Prevention,EY,2000
6138183,U10EY010410,76,Clinical Research | Prevention | Genetics,EY,2000
6138204,R01EY011654,27,Neurosciences | Genetics | Clinical Research,EY,2000
6138213,R29EY011988,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,EY,2000
6138301,F32GM019394,58,Genetics | Neurosciences | Biotechnology,GM,2000
6138309,F32GM019789,60,Cancer | Infectious Diseases | Biotechnology,GM,2000
6138339,F32GM020526,40,Genetics | Biotechnology | Clinical Research,GM,2000
6138365,R37GM023467,29,Genetics | Infectious Diseases | Bioengineering,GM,2000
6138539,R01GM055155,20,Genetics | Biotechnology | Neurosciences,GM,2000
6138611,R01GM056888,54,Genetics | Biotechnology | Infectious Diseases,GM,2000
6138632,R01GM057006,20,Genetics | Biotechnology | Neurosciences,GM,2000
6138697,R01GM058759,64,Genetics | Infectious Diseases | Biotechnology,GM,2000
6138776,P01HD030367,43,Neurosciences | Clinical Research | Brain Disorders,HD,2000
6138837,R01HD036249,66,Clinical Research | Behavioral and Social Science | Health Services,HD,2000
6138847,R01HD037031,54,Genetics | Biotechnology | Infectious Diseases,HD,2000
6138970,T32HL007287,33,Clinical Research | Neurosciences | Cancer,HL,2000
6139153,R01HL045537,17,Neurosciences | Genetics | Brain Disorders,HL,2000
6139244,R01HL058067,40,Genetics | Biotechnology | Clinical Research,HL,2000
6139260,R44HL059062,86,Bioengineering | Clinical Research | Cancer,HL,2000
6139291,P50HL061006,54,Genetics | Biotechnology | Infectious Diseases,HL,2000
6139332,K05MH001427,37,Neurosciences | Behavioral and Social Science | Basic Behavioral and Social Science,MH,2000
