APPLICATION_ID,PROJECT_TITLE,IC_NAME,FY,TOTAL_COST,cluster,topic_label,title_short,funding_millions
7679318,HIF-1-Regulated Endothelial Progenitor Cell Recruitment in Burn Wound Healing,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2008.0,81862.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,HIF-1-Regulated Endothelial Progenitor Cell Recruitment in Burn Wound Healing,0.08
6179032,GENETICS STUDIES OF MYOPIA,NATIONAL EYE INSTITUTE,2000.0,1248222.0,34,NATIONAL CANCER INSTITUTE: Genetics,GENETICS STUDIES OF MYOPIA,1.25
10620221,Effect of Alkali Therapy on Vascular and Graft Function in Kidney Transplant Recipients,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2023.0,532971.0,21,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES: Neurosciences,Effect of Alkali Therapy on Vascular and Graft Function in Kidney Transplant Recipients,0.53
8038799,Mechanisms of Mycoplasmal Disease Pathogenesis,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2011.0,367927.0,36,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Mechanisms of Mycoplasmal Disease Pathogenesis,0.37
8609241,KARABELO Clinical Trials Unit for NIAID Networks,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2014.0,2693563.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,KARABELO Clinical Trials Unit for NIAID Networks,2.69
9026217,Recombination/repair complex in human cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2015.0,116000.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Recombination/repair complex in human cells,0.12
8705978,BIOCHEMISTRY OF VIRAL REPLICATION,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2014.0,33939.0,22,NATIONAL CANCER INSTITUTE: Genetics,BIOCHEMISTRY OF VIRAL REPLICATION,0.03
7660248,A Family Intervention for Pediatric Asthma Self-Management in Puerto Ricans,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2009.0,225000.0,17,NATIONAL CANCER INSTITUTE: Clinical Research,A Family Intervention for Pediatric Asthma Self-Management in Puerto Ricans,0.22
8503542,Non-Human Primate Models to Evaluate Therapeutic Strats and Topical Microbicides,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2012.0,1172706.0,43,NATIONAL CANCER INSTITUTE: Clinical Research,Non-Human Primate Models to Evaluate Therapeutic Strats and Topical Microbicides,1.17
6926969,Environmental factors and inflammatory bowel disease,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,2005.0,126900.0,11,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Environmental factors and inflammatory bowel disease,0.13
8506862,An Animal Model for Human Heart-Hand Syndromes,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2013.0,318607.0,34,NATIONAL CANCER INSTITUTE: Genetics,An Animal Model for Human Heart-Hand Syndromes,0.32
6771822,Dysregulation of STAT3 in ALK-induced oncogenesis,NATIONAL CANCER INSTITUTE,2004.0,301150.0,45,NATIONAL CANCER INSTITUTE: Biotechnology,Dysregulation of STAT3 in ALK-induced oncogenesis,0.3
10405573,PET nanoreporter image-guided breast cancer therapy,NATIONAL CANCER INSTITUTE,2022.0,709571.0,45,NATIONAL CANCER INSTITUTE: Biotechnology,PET nanoreporter image-guided breast cancer therapy,0.71
8126204,Mentoring and Research in Cancer Palliative Care,NATIONAL CANCER INSTITUTE,2011.0,194903.0,5,NATIONAL CANCER INSTITUTE: Clinical Research,Mentoring and Research in Cancer Palliative Care,0.19
7001200,Genetics of Adiposity and Glucose Homeostasis,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2006.0,365428.0,48,NATIONAL CANCER INSTITUTE: Clinical Research,Genetics of Adiposity and Glucose Homeostasis,0.37
7869533,Biochemical analyses of muscleblind complexes in myotonic dystrophy,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2009.0,176222.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Biochemical analyses of muscleblind complexes in myotonic dystrophy,0.18
10709899,Investigating the Multi-factorial Etiology of Rotator Cuff Pathology in Human Subjects,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2023.0,242696.0,15,NATIONAL INSTITUTE ON AGING: Clinical Research,Investigating the Multi-factorial Etiology of Rotator Cuff Pathology in Human Subjects,0.24
9666275,Myofilament proteins in cardiomyopathy and arrhythmias,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2019.0,97783.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Myofilament proteins in cardiomyopathy and arrhythmias,0.1
8731004,University of Maryland Center of Excellence in Regulatory Science and Innovation,FOOD AND DRUG ADMINISTRATION,2013.0,66363.0,10,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Clinical Research,University of Maryland Center of Excellence in Regulatory Science and Innovation,0.07
7244268,Urease Activity and Dental Caries in Children,NATIONAL INSTITUTE OF DENTAL & CRANIOFACIAL RESEARCH,2007.0,107608.0,5,NATIONAL CANCER INSTITUTE: Clinical Research,Urease Activity and Dental Caries in Children,0.11
10112290,Abnormal Mitochondrial Bioenergetic and Motility Signatures in Human Blood Cells as Indices of Acute Poisoning in Patients,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",2021.0,168696.0,26,NATIONAL INSTITUTE OF MENTAL HEALTH: Clinical Research,Abnormal Mitochondrial Bioenergetic and Motility Signatures in Human Blood Cells as Indices of Acute Poisoning in Patien,0.17
6683216,TGF-BETA FAMILY REGULATION OF EPITHELIAL MORPHOGENESIS,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2004.0,334928.0,30,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,TGF-BETA FAMILY REGULATION OF EPITHELIAL MORPHOGENESIS,0.33
9176487,Control of bacterial zonal growth and differentiation,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2016.0,416681.0,41,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Neurosciences",Control of bacterial zonal growth and differentiation,0.42
10254192,Role of Tgf-beta-signaling in corneal development and diseases,NATIONAL EYE INSTITUTE,2021.0,90063.0,34,NATIONAL CANCER INSTITUTE: Genetics,Role of Tgf-beta-signaling in corneal development and diseases,0.09
7319732,E. faecalis Pathogenicity Island,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2007.0,437250.0,42,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,E. faecalis Pathogenicity Island,0.44
10437022,Expanding the set of genetically encoded tools for compartment-specific manipulation of redox metabolism in living cells,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2022.0,480000.0,45,NATIONAL CANCER INSTITUTE: Biotechnology,Expanding the set of genetically encoded tools for compartment-specific manipulation of redox metabolism in living cells,0.48
10158511,Neural mechanisms of reactive aggression in adolescence: Altered reactivity during threat and reinforcement conditioning,NATIONAL INSTITUTE OF MENTAL HEALTH,2021.0,169065.0,14,NATIONAL INSTITUTE OF MENTAL HEALTH: Neurosciences,Neural mechanisms of reactive aggression in adolescence: Altered reactivity during threat and reinforcement conditioning,0.17
8549948,Analysis of Novel Acinetobacter baumannii Adhesins,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2013.0,186238.0,38,NATIONAL CANCER INSTITUTE: Genetics,Analysis of Novel Acinetobacter baumannii Adhesins,0.19
7465434,Cytoskeleton polymerization dynamics in the cell cycle,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,2008.0,380485.0,20,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES: Genetics,Cytoskeleton polymerization dynamics in the cell cycle,0.38
8306619,The Role of Novel Bacteria in Male Urethritis,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,2012.0,211850.0,34,NATIONAL CANCER INSTITUTE: Genetics,The Role of Novel Bacteria in Male Urethritis,0.21
9859291,The role of personality in cognitive aging and dementia,NATIONAL INSTITUTE ON AGING,2020.0,431694.0,17,NATIONAL CANCER INSTITUTE: Clinical Research,The role of personality in cognitive aging and dementia,0.43
7277670,Aging and Sympathetic Vasoconstriction: Rest vs Exercise,NATIONAL INSTITUTE ON AGING,2007.0,119043.0,49,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE: Clinical Research",Aging and Sympathetic Vasoconstriction: Rest vs Exercise,0.12
6382680,Defensins and Corneal Wound Healing,NATIONAL EYE INSTITUTE,2001.0,290250.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,Defensins and Corneal Wound Healing,0.29
9224112,Using Large Observational Datasets to Improve Antibiotic Prescribing for Community-Acquired Pneumonia,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,2016.0,137403.0,25,NATIONAL CANCER INSTITUTE: Clinical Research,Using Large Observational Datasets to Improve Antibiotic Prescribing for Community-Acquired Pneumonia,0.14
8011945,Does alternative splicing regulate G protein inhibition of calcium channels?,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2011.0,28917.0,39,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE: Neurosciences,Does alternative splicing regulate G protein inhibition of calcium channels?,0.03
9756502,NEONATAL DRIED BLOOD SPOT METHYLATION AND CONCEPTION BY INFERTILITY TREATMENT IN THE UPSTATE KIDS STUDY ,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2018.0,464981.0,1,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES: Infectious Diseases,NEONATAL DRIED BLOOD SPOT METHYLATION AND CONCEPTION BY INFERTILITY TREATMENT IN THE UPSTATE KIDS STUDY ,0.46
7317182,Melanosome biogenesis,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,2007.0,319060.0,38,NATIONAL CANCER INSTITUTE: Genetics,Melanosome biogenesis,0.32
10708654,MRI Engineering Core,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,2022.0,1910877.0,27,NATIONAL CANCER INSTITUTE: Biotechnology,MRI Engineering Core,1.91
7624951,Children's Center for Clinical Pharmacology Studies,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2008.0,126225.0,4,NATIONAL CANCER INSTITUTE: Clinical Research,Children's Center for Clinical Pharmacology Studies,0.13
